bottleneck_dir,shoes-primary-color-white,shoes-primary-color-beige,shoes-primary-color-black,shoes-primary-color-brown,shoes-primary-color-grey,shoes-primary-color-blue,shoes-primary-color-navy,shoes-primary-color-teal,shoes-primary-color-green,shoes-primary-color-olive,shoes-primary-color-pink,shoes-primary-color-red,shoes-primary-color-maroon,shoes-primary-color-purple,shoes-primary-color-orange,shoes-primary-color-yellow,shoes-secondary-color-white,shoes-secondary-color-beige,shoes-secondary-color-black,shoes-secondary-color-brown,shoes-secondary-color-grey,shoes-secondary-color-blue,shoes-secondary-color-navy,shoes-secondary-color-teal,shoes-secondary-color-green,shoes-secondary-color-olive,shoes-secondary-color-pink,shoes-secondary-color-red,shoes-secondary-color-maroon,shoes-secondary-color-purple,shoes-secondary-color-orange,shoes-secondary-color-yellow,shoes-secondary-color-none,shoes-type-boat/loafer,shoes-type-boots,shoes-type-sneakers,shoes-type-sport,shoes-type-sandals,shoes-type-dress-shoes,shoes-type-casual-shoes,shoes-others-toe-cap,shoes-others-gum-sole,shoes-others-with-logo,shoes-others-high-cut,shoes-materials-leather,shoes-materials-canvas,shoes-materials-suede,shoes-materials-rubber
bottlenecks/Clean clothes/Shoes/shoes1555.jpg.txt,0.857669771,0.046610024,0.002565814,0.003987141,0.033305563,0.014096318,0.009792495,0.001404069,0.007456632,0.004874311,0.000877799,0.001458846,0.005757085,8.07E-05,0.007814073,0.00224938,0.132019147,0.079562232,0.029118527,0.094282702,0.044094861,0.010129502,0.130460173,0.006010503,0.137062907,0.000240756,0.000484206,0.009058652,0.002558575,6.18E-05,0.011249596,0.009177771,0.304428071,0.000164177,0.002091107,0.937371075,0.054744702,0.001287571,0.000348203,0.003993056,0.068050981,0.189634636,0.848072052,0.147258297,0.286900371,0.12346597,0.50227207,0.003082445
bottlenecks/Clean clothes/Shoes/shoes1072.jpg.txt,0.014294201,0.016115278,0.218017057,0.00804986,0.596060813,0.009746237,0.020795252,0.002575227,0.011531376,0.09166389,0.004841939,0.000952958,0.003346016,0.000648342,0.000470778,0.000890701,0.693651974,0.003337553,0.008071844,0.014026634,0.025746184,0.00532934,0.013132546,0.000988558,0.00237581,0.000953895,0.000643852,0.004021199,0.000795611,0.00033914,0.000310675,0.003951064,0.222324103,0.000106606,0.001856739,0.94343096,0.046870481,0.000486786,0.005068375,0.002180127,0.041198153,0.054416295,0.498000413,0.038675439,0.693274975,0.168298394,0.153656378,0.000805161
bottlenecks/Clean clothes/Shoes/shoes1979.jpg.txt,0.006074732,0.004669516,0.75254333,0.081740581,0.038061582,0.01546739,0.068884365,0.00835745,0.003746668,0.005937781,0.002576489,0.002787516,0.005585678,0.002591124,0.000627436,0.000348321,0.128975436,0.00690533,0.132975861,0.134261072,0.01464243,0.005708264,0.00538686,0.000127145,0.002271794,0.002314219,0.000380772,0.000453788,0.001623339,7.08E-05,0.000206836,0.004025415,0.559670627,0.026932597,0.003382852,0.086844072,0.022837125,0.002507126,0.782904804,0.074591465,0.015659189,0.006570191,0.117446855,0.025142018,0.828153253,0.041879166,0.130694017,0.002616219
bottlenecks/Clean clothes/Shoes/shoes334.jpg.txt,0.024130499,0.001210563,0.456160545,0.001352821,0.03685895,0.004786988,0.452056974,0.006480931,0.005987077,0.000042764,0.001244891,0.005909163,0.003393638,0.000271041,5.18E-05,6.14E-05,0.900405228,0.002842682,0.019313989,0.00225222,0.002094299,0.031736784,0.004145219,5.25E-06,0.006426819,2.55E-05,0.000988404,0.002346159,0.001076011,0.000005109,9.77E-07,0.000554603,0.02578071,0.000182511,0.003998415,0.54733175,0.428865969,0.004482341,0.012075285,0.003063713,0.249031857,0.002998099,0.62949425,0.012708425,0.019242086,0.724188268,0.122723602,0.008967367
bottlenecks/Clean clothes/Shoes/shoes11.jpg.txt,0.017671097,0.022365052,0.018052103,0.703604758,0.13203828,0.013238155,0.015318696,0.00028299,0.001589549,0.003403345,0.01253306,0.016060084,0.041215401,9.31E-05,0.001675928,0.00085834,0.256160259,0.047452413,0.033863593,0.108169958,0.003747127,0.003569849,0.021037893,0.004586472,0.005877003,0.000746297,0.000208676,0.001158217,0.00299826,5.14E-05,0.000798887,0.015826408,0.493747264,0.053828228,0.005320362,0.041108474,0.028604429,0.712946713,0.013228099,0.144963726,0.00931898,0.043403521,0.086765476,0.046878405,0.652650476,0.04562708,0.221824765,0.114239894
bottlenecks/Clean clothes/Shoes/shoes66.jpg.txt,0.001404104,0.00096887,0.790237784,0.084433943,0.041880045,0.000545558,0.016306024,0.000601861,0.000528936,0.000397218,0.000887203,0.008323999,0.052737508,0.000486649,0.000119964,0.000140344,0.084264249,0.002035095,0.42670995,0.094163001,0.002238255,0.003636443,0.002412537,0.000107511,0.000203228,0.000751338,0.000162662,0.000142619,0.014216663,0.000020228,0.00006743,0.001151908,0.367716849,0.552198112,0.000139156,0.009689839,0.002575385,0.000638384,0.423274845,0.011484314,0.016784923,0.002140225,0.055977378,0.00576809,0.87720573,0.013595586,0.070861243,0.002472074
bottlenecks/Clean clothes/Shoes/shoes401.jpg.txt,0.013524834,0.055583898,0.046934616,0.278491736,0.038503863,0.02336126,0.06209914,0.002110883,0.023040056,0.061861999,0.002955035,0.100575276,0.281739712,0.000484741,0.005621313,0.0031117,0.331687152,0.029140865,0.103757188,0.12280266,0.148590595,0.008405842,0.061532319,0.000512594,0.001942182,0.000341477,8.85E-05,0.01553654,0.00151029,1.45E-05,0.007786932,0.007521658,0.158828795,0.011053843,0.010506711,0.901525378,0.019598246,0.005170214,0.017324884,0.034820732,0.012373076,0.040616211,0.34679547,0.192886755,0.056933258,0.319737405,0.613376379,0.001824705
bottlenecks/Clean clothes/Shoes/shoes1676.jpg.txt,0.093757749,0.006077563,0.252052665,0.015351589,0.129301161,0.156904221,0.256520361,0.02051118,0.028162491,0.018315431,0.001522532,0.005585958,0.003741335,0.00055199,0.005212881,0.006430895,0.561291814,0.0558757,0.120219819,0.053298146,0.014093371,0.017952329,0.086459152,0.021319842,0.003445912,0.00015472,0.001018576,0.006738607,0.004456082,0.001092808,0.004276088,0.003793533,0.044513479,0.000993904,0.002613764,0.889504492,0.098603994,0.001222688,0.002031124,0.005029977,0.032210797,0.030938009,0.840016067,0.017567227,0.192686826,0.1297497,0.312892735,0.000780573
bottlenecks/Clean clothes/Shoes/shoes1346.jpg.txt,0.688117325,0.081666708,0.018735487,0.010505016,0.03042127,0.02505308,0.092308477,0.017502347,0.005843825,0.003226116,0.005200107,0.014954361,0.003193923,0.001870594,0.000298173,0.001103133,0.306161195,0.012037987,0.01752325,0.035851851,0.031283829,0.007614302,0.046453185,0.000183447,0.004909379,0.001522187,0.000883394,0.061020259,0.000642236,1.02E-05,0.001668939,0.002841332,0.469393075,0.006069664,0.000451423,0.947919071,0.011510447,0.009090286,0.002647658,0.022311388,0.080606148,0.01571277,0.552345693,0.00707408,0.268364519,0.378928959,0.15014635,0.01890382
bottlenecks/Clean clothes/Shoes/shoes832.jpg.txt,0.004561267,0.004745906,0.423703045,0.472092718,0.013936162,0.002733863,0.035844978,0.000342588,0.001176551,0.011323674,0.00615781,0.007914883,0.009174279,0.005311525,0.000423891,0.000556926,0.026530819,0.012911429,0.225622013,0.13576895,0.007619554,0.007611115,0.013519559,1.52E-05,0.00088248,0.000133988,0.000387206,0.009394539,0.000938377,0.000530857,0.000356674,0.004391773,0.553385496,0.000758375,0.794829905,0.015556727,0.001036196,0.000749089,0.129419893,0.057649814,0.007034634,0.016930224,0.027699975,0.762266219,0.598386943,0.024405628,0.312858909,0.000665055
