bottleneck_dir,shoes-primary-color-white,shoes-primary-color-beige,shoes-primary-color-black,shoes-primary-color-brown,shoes-primary-color-grey,shoes-primary-color-blue,shoes-primary-color-navy,shoes-primary-color-teal,shoes-primary-color-green,shoes-primary-color-olive,shoes-primary-color-pink,shoes-primary-color-red,shoes-primary-color-maroon,shoes-primary-color-purple,shoes-primary-color-orange,shoes-primary-color-yellow,shoes-secondary-color-white,shoes-secondary-color-beige,shoes-secondary-color-black,shoes-secondary-color-brown,shoes-secondary-color-grey,shoes-secondary-color-blue,shoes-secondary-color-navy,shoes-secondary-color-teal,shoes-secondary-color-green,shoes-secondary-color-olive,shoes-secondary-color-pink,shoes-secondary-color-red,shoes-secondary-color-maroon,shoes-secondary-color-purple,shoes-secondary-color-orange,shoes-secondary-color-yellow,shoes-secondary-color-none,shoes-type-boat/loafer,shoes-type-boots,shoes-type-sneakers,shoes-type-sport,shoes-type-sandals,shoes-type-dress-shoes,shoes-type-casual-shoes,shoes-others-toe-cap,shoes-others-gum-sole,shoes-others-with-logo,shoes-others-high-cut,shoes-materials-leather,shoes-materials-canvas,shoes-materials-suede,shoes-materials-rubber
bottlenecks/Unlabelled Clothes/Shoes/shoes2168.jpg.txt,0.016080903,0.000778724,0.333776623,0.008499214,0.132725045,0.010014893,0.007349137,0.054675441,0.028250026,0.140918523,0.002978529,0.053022511,0.021021081,0.003021928,5.81E-05,0.186829358,0.790591538,3.58E-06,0.060060352,0.000883788,0.079281263,0.023940496,0.012517417,0.000447201,0.002827313,5.72E-06,0.000151198,0.026789971,0.000523119,3.68E-07,4.71E-08,0.000305738,0.001670758,3.08E-05,0.000763331,0.449688256,0.547360778,0.001591019,0.000193687,0.000372172,0.357045949,0.067741521,0.911401033,0.116718605,0.052744642,0.194678247,0.033197783,0.007820683
bottlenecks/Unlabelled Clothes/Shoes/shoes622.jpg.txt,0.038117353,0.010874253,0.178416804,0.440072566,0.158747017,0.027516579,0.031185864,0.000834653,0.011817412,0.031912524,0.013565365,0.01618398,0.01283537,0.002036497,0.020149957,0.005733821,0.222420171,0.005147615,0.150133327,0.143145457,0.017051563,0.037401583,0.073422872,0.000490195,0.010633476,0.00202918,0.000936942,0.001011384,0.000845711,8.30E-05,9.73E-06,0.010846316,0.324391425,0.05216438,0.043873508,0.209211007,0.211288452,0.323556334,0.009062478,0.150843903,0.023207748,0.047315382,0.251133829,0.429855704,0.154624268,0.100995451,0.385870963,0.061373849
bottlenecks/Unlabelled Clothes/Shoes/shoes2990.jpg.txt,0.445735753,0.005834604,0.016724385,0.021752872,0.472898483,0.005988861,0.002208314,0.000168307,0.00874266,5.54E-05,0.000507389,0.013240358,0.001074916,0.000988835,1.95E-05,0.004059354,0.600251973,3.87E-06,0.10040994,0.000539027,0.046407744,0.075814411,0.087283857,0.000442284,0.005866628,1.29E-05,5.68E-05,0.003078877,5.21E-05,6.41E-09,1.23E-10,0.000618232,0.079161316,0.000571124,0.002826861,0.311801851,0.555546284,0.116722241,0.004921851,0.007609732,0.045933712,0.000122956,0.561240971,0.034048118,0.042370644,0.163286194,0.020330474,0.149099827
bottlenecks/Unlabelled Clothes/Shoes/shoes470.jpg.txt,0.003888762,6.20E-05,0.866717994,0.03387022,0.046066374,0.007134134,0.032707546,7.45E-05,0.00055009,0.00377002,0.004093743,5.92E-05,0.00060454,0.000351589,6.46E-06,0.00004275,0.151373923,0.000207075,0.133465484,0.041109297,0.029569641,0.010969983,0.027084129,4.87E-05,0.000528349,4.93E-05,0.000480477,0.001813298,0.00011219,0.000001092,2.01E-08,0.006936716,0.596250355,0.015794495,0.002935502,0.079065479,0.232748896,0.214256629,0.056389827,0.398809254,0.045653343,0.008719253,0.124234185,0.100907177,0.178176835,0.048267692,0.027678255,0.222823694
bottlenecks/Unlabelled Clothes/Shoes/shoes550.jpg.txt,0.000388559,1.58E-05,0.001931727,0.000531609,0.993739605,0.000436536,0.002348293,2.36E-05,7.92E-05,0.000256443,5.59E-05,0.000138927,4.02E-05,6.86E-06,5.01E-06,1.67E-06,0.425291687,6.99E-06,0.093742997,0.003766147,0.024531802,0.002862381,0.076921947,0.00038215,0.000988098,7.46E-06,3.95E-05,1.71E-05,3.40E-05,3.29E-08,2.86E-09,0.000221269,0.371186465,0.025072206,0.001508968,0.130327791,0.752603173,0.059470464,0.001657841,0.029359588,0.036950856,0.003161151,0.087818004,0.102720298,0.002703937,0.418376505,0.19834505,0.057941482
bottlenecks/Unlabelled Clothes/Shoes/shoes2326.jpg.txt,0.011386063,0.027245695,0.208507538,0.087936387,0.196350515,0.160224199,0.022492699,0.058800656,0.034914948,0.031211466,0.003239488,0.012375501,0.003926024,0.053444348,0.007271609,0.080672793,0.514199019,0.027696006,0.051640306,0.006637987,0.169494093,0.061710879,0.063413464,0.047689792,0.00325985,5.17E-05,0.000783683,0.006582433,0.013936721,0.010929281,0.000222088,0.003337389,0.018415237,7.38E-05,0.010925566,0.148755312,0.838967502,0.000205907,0.000127663,0.000944271,0.054531667,0.069454305,0.943405509,0.227865562,0.014844328,0.033256184,0.653319597,0.001191437
bottlenecks/Unlabelled Clothes/Shoes/shoes547.jpg.txt,0.372127682,0.000468922,0.056434672,0.439481944,0.090643048,0.000155447,0.007312952,1.14E-05,0.000555041,0.009019252,0.021521373,9.95E-05,0.000922675,0.000145048,0.000187768,0.000913367,0.098579697,7.49E-08,0.194746226,0.338395029,0.025004124,0.023053302,0.008792587,0.000011674,0.003736273,0.001226537,8.86E-05,0.000325628,1.47E-05,1.83E-09,1.14E-11,0.007564351,0.298461169,0.004403181,0.000939746,0.866874516,0.003061275,0.111135766,0.003781926,0.009803592,0.028751161,0.001239112,0.05918546,0.226697683,0.235080063,0.069014475,0.014475309,0.404114604
bottlenecks/Unlabelled Clothes/Shoes/shoes2573.jpg.txt,0.05190666,0.000126053,0.072620928,0.157984883,0.3919999,0.003293888,0.292429626,5.29E-05,0.000498603,8.06E-05,0.001403019,0.010591615,0.015987013,0.000205437,7.31E-05,0.000745773,0.056534149,3.56E-07,0.19781968,0.010918037,0.003042323,0.018742288,0.704285801,5.41E-06,0.005030211,4.48E-05,0.00021542,0.00170913,1.38E-05,2.14E-10,2.33E-11,0.000439484,0.001199045,0.0024563,0.000278081,0.005558109,0.001442553,0.89397651,0.092818923,0.003469516,0.069906227,0.000587517,0.192287102,0.052752145,0.033865854,0.10867355,0.021762976,0.954629183
bottlenecks/Unlabelled Clothes/Shoes/shoes2591.jpg.txt,0.04713694,0.000178752,0.199373737,0.175183058,0.44110623,0.058586907,0.018069631,0.001023282,0.010891605,0.018509723,0.002477987,0.002971544,0.021468191,0.002109553,3.14E-05,0.000881516,0.620350957,0.000134769,0.047363024,0.050909512,0.026624775,0.030666897,0.145135745,0.00132356,0.00887046,0.000106499,0.001492027,0.009055738,0.000185251,3.46E-07,9.40E-09,0.000346852,0.05743352,0.002926365,0.007961997,0.760632217,0.17798698,0.010165074,0.005341424,0.034985941,0.090794295,0.002373036,0.712095439,0.071932353,0.012070991,0.163045883,0.07203009,0.02436595
bottlenecks/Unlabelled Clothes/Shoes/shoes1099.jpg.txt,0.003252799,7.45E-05,0.721818566,0.128422111,0.084208831,0.000855359,0.007832497,0.000467144,0.000565973,0.015179452,0.001161494,0.001651916,0.033059739,0.000609302,0.000103231,0.00073707,0.086885899,0.000182816,0.051910095,0.013489532,0.01376907,0.006178895,0.03554295,7.43E-05,0.000112873,0.000102377,4.47E-05,0.000230297,0.001203789,0.000157314,3.08E-06,0.001047188,0.789064884,0.319875181,0.130489394,0.056467153,0.063182585,0.001788406,0.385483831,0.042713352,0.029460061,0.008549918,0.087088712,0.5361256,0.832389414,0.021760626,0.108007178,0.000313194
